id,sentiment
"7383_1",1
"11699_1",1
"6067_10",1
"7247_4",0
"2456_8",0
"10232_1",1
"5813_8",1
"10646_8",1
"4682_9",1
"4152_1",0
"1020_10",1
"10933_1",1
"6772_4",0
"7495_2",1
"7329_3",0
"3437_1",0
"11755_7",0
"8634_9",0
"6308_8",0
"7761_2",0
"794_8",1
"8347_10",1
"7357_10",0
"10317_7",1
"11541_10",0
"1692_8",1
"2346_4",0
"11815_10",1
"5583_4",0
"827_7",0
"1578_8",1
"1231_7",1
"5098_9",1
"607_3",0
"8346_1",0
"6776_7",1
"8530_1",1
"6730_10",0
"6413_3",0
"9731_4",1
"2851_4",1
"6572_3",1
"4810_3",0
"8827_4",1
"2880_1",1
"11485_2",0
"4112_9",0
"5541_9",1
"10637_2",1
"1115_1",1
"369_10",0
"7107_2",0
"12262_7",1
"11035_8",0
"4780_9",1
"4936_1",0
"10526_3",0
"6055_1",0
"1326_10",1
"4212_10",0
"10458_10",0
"10029_10",0
"1730_10",1
"3548_8",1
"1630_8",0
"3449_2",0
"8361_8",1
"5652_4",0
"5549_2",0
"2724_1",1
"2151_1",1
"618_10",0
"8803_10",1
"7988_1",1
"11910_1",0
"4939_7",1
"11772_10",1
"5078_9",1
"9376_10",1
"11591_2",0
"1830_1",1
"5904_8",0
"7699_2",0
"4259_9",0
"4117_1",1
"7261_8",1
"433_10",1
"1716_8",1
"1718_7",0
"3958_1",0
"8954_8",0
"5681_8",1
"10381_10",1
"2406_10",0
"2761_10",1
"897_4",1
"911_1",0
"2984_4",0
"10074_9",1
"107_10",1
"869_3",0
"7225_1",0
"8230_4",1
"10778_8",1
"4471_8",1
"5901_4",1
"593_9",0
"4819_1",1
"8327_1",0
"2192_9",1
"5044_1",0
"7467_10",1
"9859_10",0
"8408_3",1
"8382_7",0
"12048_10",0
"3474_2",0
"10226_10",0
"6685_10",0
"5123_8",0
"8054_1",0
"651_10",1
"897_10",1
"10309_3",0
"520_1",1
"10648_8",1
"3444_1",0
"12349_10",1
"5557_9",1
"5518_8",1
"11513_8",0
"12326_10",1
"6177_7",0
"3218_4",1
"12398_2",1
"944_4",0
"12015_4",0
"9029_1",0
"9499_4",1
"2081_7",0
"5056_2",0
"1187_10",1
"1529_1",1
"10253_1",1
"1838_10",1
"1334_4",1
"245_9",1
"4055_10",0
"9635_7",0
"4845_9",0
"3508_8",0
"10857_8",1
"2249_2",0
"4802_1",0
"596_7",0
"9267_3",1
"9634_8",1
"8399_2",0
"1916_8",1
"169_1",0
"8732_1",0
"1412_2",1
"11429_1",1
"8230_10",1
"3461_9",0
"5192_3",0
"1520_1",0
"5934_10",1
"9616_8",0
"1527_7",0
"11450_1",0
"10319_1",0
"1492_2",1
"4630_9",0
"10246_10",1
"7100_3",0
"6407_1",1
"9884_1",1
"3871_3",0
"8392_8",0
"11794_7",0
"5018_1",1
"7524_9",1
"8049_1",0
"5132_8",1
"9202_8",0
"471_7",1
"5326_10",0
"2213_1",1
"6682_4",0
"11843_10",0
