id,sentiment
"7383_1",0
"11699_1",0
"6067_10",0
"7247_4",0
"2456_8",0
"10232_1",0
"5813_8",1
"10646_8",1
"4682_9",1
"4152_1",0
"1020_10",1
"10933_1",0
"6772_4",1
"7495_2",1
"7329_3",0
"3437_1",0
"11755_7",0
"8634_9",1
"6308_8",1
"7761_2",0
"794_8",1
"8347_10",1
"7357_10",1
"10317_7",1
"11541_10",1
"1692_8",1
"2346_4",1
"11815_10",1
"5583_4",0
"827_7",1
"1578_8",1
"1231_7",1
"5098_9",1
"607_3",1
"8346_1",0
"6776_7",1
"8530_1",0
"6730_10",0
"6413_3",0
"9731_4",0
"2851_4",0
"6572_3",1
"4810_3",0
"8827_4",1
"2880_1",0
"11485_2",0
"4112_9",1
"5541_9",0
"10637_2",1
"1115_1",0
"369_10",1
"7107_2",0
"12262_7",1
"11035_8",1
"4780_9",1
"4936_1",1
"10526_3",0
"6055_1",0
"1326_10",0
"4212_10",1
"10458_10",1
"10029_10",0
"1730_10",1
"3548_8",1
"1630_8",1
"3449_2",0
"8361_8",0
"5652_4",0
"5549_2",0
"2724_1",0
"2151_1",0
"618_10",1
"8803_10",1
"7988_1",0
"11910_1",0
"4939_7",0
"11772_10",0
"5078_9",1
"9376_10",1
"11591_2",0
"1830_1",0
"5904_8",1
"7699_2",0
"4259_9",1
"4117_1",0
"7261_8",1
"433_10",1
"1716_8",1
"1718_7",1
"3958_1",0
"8954_8",1
"5681_8",0
"10381_10",1
"2406_10",0
"2761_10",1
"897_4",0
"911_1",0
"2984_4",0
"10074_9",0
"107_10",1
"869_3",0
"7225_1",0
"8230_4",0
"10778_8",1
"4471_8",1
"5901_4",1
"593_9",1
"4819_1",0
"8327_1",0
"2192_9",1
"5044_1",0
"7467_10",1
"9859_10",1
"8408_3",0
"8382_7",0
"12048_10",1
"3474_2",1
"10226_10",1
"6685_10",1
"5123_8",1
"8054_1",0
"651_10",0
"897_10",1
"10309_3",0
"520_1",0
"10648_8",1
"3444_1",0
"12349_10",1
"5557_9",1
"5518_8",1
"11513_8",1
"12326_10",1
"6177_7",1
"3218_4",1
"12398_2",0
"944_4",0
"12015_4",1
"9029_1",0
"9499_4",0
"2081_7",1
"5056_2",0
"1187_10",1
"1529_1",0
"10253_1",1
"1838_10",1
"1334_4",0
"245_9",1
"4055_10",1
"9635_7",0
"4845_9",1
"3508_8",1
"10857_8",1
"2249_2",0
"4802_1",0
"596_7",1
"9267_3",0
"9634_8",1
"8399_2",0
"1916_8",1
"169_1",0
"8732_1",0
"1412_2",0
"11429_1",0
"8230_10",0
"3461_9",0
"5192_3",0
"1520_1",0
"5934_10",0
"9616_8",1
"1527_7",1
"11450_1",1
"10319_1",0
"1492_2",0
"4630_9",1
"10246_10",0
"7100_3",0
"6407_1",1
"9884_1",1
"3871_3",0
"8392_8",1
"11794_7",1
"5018_1",0
"7524_9",1
"8049_1",0
"5132_8",1
"9202_8",1
"471_7",1
"5326_10",1
"2213_1",0
"6682_4",1
"11843_10",1
"8541_1",0
"1092_2",0
"3070_7",1
"10490_1",1
"4223_4",0
"2030_4",0
"1126_3",0
"1291_4",1
"9353_3",0
"2279_2",0
"11542_7",1
"8126_3",0
"9437_2",0
"8800_10",1
"8140_2",0
"6531_4",0
"4606_7",0
"4907_8",1
"9112_1",0
"7335_1",1
"5857_1",0
"1967_4",0
"7946_10",1
"12309_3",1
"11894_10",1
"11030_8",0
"12250_10",1
"7695_9",1
"10749_8",1
"10040_10",1
"4906_1",0
"1744_10",1
"11298_8",1
"9513_1",0
"3633_10",0
"7104_7",1
"8566_3",0
"10325_1",0
"4780_1",0
"11248_10",1
"1809_10",1
"5150_4",0
"8548_10",0
"9108_1",0
"6545_10",1
"2947_1",0
"9348_1",1
"3870_3",0
"1439_7",1
"3187_1",0
"2154_1",0
"7540_4",0
"8492_9",1
"2952_8",1
"346_10",1
"7680_4",0
"4768_4",0
"11069_10",1
"240_10",1
"1277_10",1
"11033_1",1
"1162_1",1
"12403_4",0
"4356_8",1
"10146_7",1
"406_2",0
"6894_7",0
"9813_8",1
